REF_DATE;GEO;DGUID;Custodial and community supervision;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1990/1991;Nunavut;2016A000262;Sentenced, actual-in count;Persons;249;units;0;v21536937;15.2;;..;;;1
1990/1991;Nunavut;2016A000262;Remand, actual-in count;Persons;249;units;0;v21536938;15.3;;..;;;1
1990/1991;Nunavut;2016A000262;Other statuses, actual-in count;Persons;249;units;0;v21536939;15.4;;..;;;1
1990/1991;Nunavut;2016A000262;On-register count;Persons;249;units;0;v21536940;15.5;;..;;;1
1990/1991;Nunavut;2016A000262;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536941;15.6;;..;;;2
1990/1991;Nunavut;2016A000262;Total community supervision count;Persons;249;units;0;v41443553;15.7;;..;;;1
1990/1991;Nunavut;2016A000262;Probation, community supervision;Persons;249;units;0;v41443554;15.8;;..;;;1
1990/1991;Nunavut;2016A000262;Conditional sentence, community supervision;Persons;249;units;0;v41443555;15.9;;..;;;1
1990/1991;Nunavut;2016A000262;Probation rates per 100,000 adults;Rate;257;units;0;v41443556;15.11;;..;;;2
1991/1992;Provinces and Territories;2016A000011124;Total actual-in count;Persons;249;units;0;v21536797;1.1;18940.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Sentenced, actual-in count;Persons;249;units;0;v21536798;1.2;13925.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Remand, actual-in count;Persons;249;units;0;v21536799;1.3;4947.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Other statuses, actual-in count;Persons;249;units;0;v21536800;1.4;68.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;On-register count;Persons;249;units;0;v21536801;1.5;21326.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536802;1.6;89.79;;;;2
1991/1992;Provinces and Territories;2016A000011124;Total community supervision count;Persons;249;units;0;v21536803;1.7;95970.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Probation, community supervision;Persons;249;units;0;v21536804;1.8;93314.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Conditional sentence, community supervision;Persons;249;units;0;v21536805;1.9;;..;;;1
1991/1992;Provinces and Territories;2016A000011124;Provincial parole, community supervision;Persons;249;units;0;v21536806;1.10;2656.0;;;;1
1991/1992;Provinces and Territories;2016A000011124;Probation rates per 100,000 adults;Rate;257;units;0;v21536807;1.11;442.37;;;;2
1991/1992;Newfoundland and Labrador;2016A000210;Total actual-in count;Persons;249;units;0;v21536808;2.1;354.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Sentenced, actual-in count;Persons;249;units;0;v21536809;2.2;323.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Remand, actual-in count;Persons;249;units;0;v21536810;2.3;31.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Other statuses, actual-in count;Persons;249;units;0;v21536811;2.4;;..;;;1
1991/1992;Newfoundland and Labrador;2016A000210;On-register count;Persons;249;units;0;v21536812;2.5;415.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536813;2.6;84.56;;;;2
1991/1992;Newfoundland and Labrador;2016A000210;Total community supervision count;Persons;249;units;0;v21536814;2.7;1949.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Probation, community supervision;Persons;249;units;0;v21536815;2.8;1949.0;;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Conditional sentence, community supervision;Persons;249;units;0;v21536816;2.9;;..;;;1
1991/1992;Newfoundland and Labrador;2016A000210;Probation rates per 100,000 adults;Rate;257;units;0;v21536817;2.11;465.55;;;;2
1991/1992;Prince Edward Island;2016A000211;Total actual-in count;Persons;249;units;0;v21536818;3.1;108.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Sentenced, actual-in count;Persons;249;units;0;v21536819;3.2;92.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Remand, actual-in count;Persons;249;units;0;v21536820;3.3;16.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Other statuses, actual-in count;Persons;249;units;0;v21536821;3.4;;..;;;1
1991/1992;Prince Edward Island;2016A000211;On-register count;Persons;249;units;0;v21536822;3.5;108.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536823;3.6;113.73;;;;2
1991/1992;Prince Edward Island;2016A000211;Total community supervision count;Persons;249;units;0;v21536824;3.7;728.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Probation, community supervision;Persons;249;units;0;v21536825;3.8;728.0;;;;1
1991/1992;Prince Edward Island;2016A000211;Conditional sentence, community supervision;Persons;249;units;0;v21536826;3.9;;..;;;1
1991/1992;Prince Edward Island;2016A000211;Probation rates per 100,000 adults;Rate;257;units;0;v21536827;3.11;766.61;;;;2
1991/1992;Nova Scotia;2016A000212;Total actual-in count;Persons;249;units;0;v21536828;4.1;396.0;;;;1
1991/1992;Nova Scotia;2016A000212;Sentenced, actual-in count;Persons;249;units;0;v21536829;4.2;340.0;;;;1
1991/1992;Nova Scotia;2016A000212;Remand, actual-in count;Persons;249;units;0;v21536830;4.3;56.0;;;;1
1991/1992;Nova Scotia;2016A000212;Other statuses, actual-in count;Persons;249;units;0;v21536831;4.4;;..;;;1
1991/1992;Nova Scotia;2016A000212;On-register count;Persons;249;units;0;v21536832;4.5;437.0;;;;1
1991/1992;Nova Scotia;2016A000212;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536833;4.6;57.45;;;;2
1991/1992;Nova Scotia;2016A000212;Total community supervision count;Persons;249;units;0;v21536834;4.7;3563.0;;;;1
1991/1992;Nova Scotia;2016A000212;Probation, community supervision;Persons;249;units;0;v21536835;4.8;3563.0;;;;1
1991/1992;Nova Scotia;2016A000212;Conditional sentence, community supervision;Persons;249;units;0;v21536836;4.9;;..;;;1
1991/1992;Nova Scotia;2016A000212;Probation rates per 100,000 adults;Rate;257;units;0;v21536837;4.11;516.87;;;;2
1991/1992;New Brunswick;2016A000213;Total actual-in count;Persons;249;units;0;v21536838;5.1;416.0;;;;1
1991/1992;New Brunswick;2016A000213;Sentenced, actual-in count;Persons;249;units;0;v21536839;5.2;371.0;;;;1
1991/1992;New Brunswick;2016A000213;Remand, actual-in count;Persons;249;units;0;v21536840;5.3;36.0;;;;1
1991/1992;New Brunswick;2016A000213;Other statuses, actual-in count;Persons;249;units;0;v21536841;5.4;9.0;;;;1
1991/1992;New Brunswick;2016A000213;On-register count;Persons;249;units;0;v21536842;5.5;419.0;;;;1
1991/1992;New Brunswick;2016A000213;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536843;5.6;74.79;;;;2
1991/1992;New Brunswick;2016A000213;Total community supervision count;Persons;249;units;0;v21536844;5.7;2136.0;;;;1
1991/1992;New Brunswick;2016A000213;Probation, community supervision;Persons;249;units;0;v21536845;5.8;2136.0;;;;1
1991/1992;New Brunswick;2016A000213;Conditional sentence, community supervision;Persons;249;units;0;v21536846;5.9;;..;;;1
1991/1992;New Brunswick;2016A000213;Probation rates per 100,000 adults;Rate;257;units;0;v21536847;5.11;384.00;;;;2
1991/1992;Quebec;2016A000224;Total actual-in count;Persons;249;units;0;v21536848;6.1;3344.0;;;;1
1991/1992;Quebec;2016A000224;Sentenced, actual-in count;Persons;249;units;0;v21536849;6.2;2099.0;;;;1
1991/1992;Quebec;2016A000224;Remand, actual-in count;Persons;249;units;0;v21536850;6.3;1245.0;;;;1
1991/1992;Quebec;2016A000224;On-register count;Persons;249;units;0;v21536852;6.5;5131.0;;;;1
1991/1992;Quebec;2016A000224;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536853;6.6;62.10;;;;2
1991/1992;Quebec;2016A000224;Total community supervision count;Persons;249;units;0;v21536854;6.7;12482.0;;;;1
1991/1992;Quebec;2016A000224;Probation, community supervision;Persons;249;units;0;v21536855;6.8;11584.0;;;;1
1991/1992;Quebec;2016A000224;Conditional sentence, community supervision;Persons;249;units;0;v21536856;6.9;;..;;;1
1991/1992;Quebec;2016A000224;Provincial parole, community supervision;Persons;249;units;0;v21536857;6.10;898.0;;;;1
1991/1992;Quebec;2016A000224;Probation rates per 100,000 adults;Rate;257;units;0;v21536858;6.11;215.11;;;;2
1991/1992;Ontario;2016A000235;Total actual-in count;Persons;249;units;0;v21536859;7.1;7381.0;;;;1
1991/1992;Ontario;2016A000235;Sentenced, actual-in count;Persons;249;units;0;v21536860;7.2;5052.0;;;;1
1991/1992;Ontario;2016A000235;Remand, actual-in count;Persons;249;units;0;v21536861;7.3;2270.0;;;;1
1991/1992;Ontario;2016A000235;Other statuses, actual-in count;Persons;249;units;0;v21536862;7.4;59.0;;;;1
1991/1992;Ontario;2016A000235;On-register count;Persons;249;units;0;v21536863;7.5;8288.0;;;;1
1991/1992;Ontario;2016A000235;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536864;7.6;93.27;;;;2
1991/1992;Ontario;2016A000235;Total community supervision count;Persons;249;units;0;v21536865;7.7;47712.0;;;;1
1991/1992;Ontario;2016A000235;Probation, community supervision;Persons;249;units;0;v21536866;7.8;46284.0;;;;1
1991/1992;Ontario;2016A000235;Conditional sentence, community supervision;Persons;249;units;0;v21536867;7.9;;..;;;1
1991/1992;Ontario;2016A000235;Provincial parole, community supervision;Persons;249;units;0;v21536868;7.10;1428.0;;;;1
1991/1992;Ontario;2016A000235;Probation rates per 100,000 adults;Rate;257;units;0;v21536869;7.11;584.87;;;;2
1991/1992;Manitoba;2016A000246;Total actual-in count;Persons;249;units;0;v21536870;8.1;959.0;;;;1
1991/1992;Manitoba;2016A000246;Sentenced, actual-in count;Persons;249;units;0;v21536871;8.2;721.0;;;;1
1991/1992;Manitoba;2016A000246;Remand, actual-in count;Persons;249;units;0;v21536872;8.3;238.0;;;;1
1991/1992;Manitoba;2016A000246;Other statuses, actual-in count;Persons;249;units;0;v21536873;8.4;;..;;;1
1991/1992;Manitoba;2016A000246;On-register count;Persons;249;units;0;v21536874;8.5;1183.0;;;;1
1991/1992;Manitoba;2016A000246;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536875;8.6;117.22;;;;2
1991/1992;Manitoba;2016A000246;Total community supervision count;Persons;249;units;0;v21536876;8.7;4758.0;;;;1
1991/1992;Manitoba;2016A000246;Probation, community supervision;Persons;249;units;0;v21536877;8.8;4758.0;;;;1
1991/1992;Manitoba;2016A000246;Conditional sentence, community supervision;Persons;249;units;0;v21536878;8.9;;..;;;1
1991/1992;Manitoba;2016A000246;Probation rates per 100,000 adults;Rate;257;units;0;v21536879;8.11;581.59;;;;2
1991/1992;Saskatchewan;2016A000247;Total actual-in count;Persons;249;units;0;v21536880;9.1;1315.0;;;;1
1991/1992;Saskatchewan;2016A000247;Sentenced, actual-in count;Persons;249;units;0;v21536881;9.2;1136.0;;;;1
1991/1992;Saskatchewan;2016A000247;Remand, actual-in count;Persons;249;units;0;v21536882;9.3;179.0;;;;1
1991/1992;Saskatchewan;2016A000247;On-register count;Persons;249;units;0;v21536884;9.5;1531.0;;;;1
1991/1992;Saskatchewan;2016A000247;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536885;9.6;183.17;;;;2
1991/1992;Saskatchewan;2016A000247;Total community supervision count;Persons;249;units;0;v21536886;9.7;3453.0;;;;1
1991/1992;Saskatchewan;2016A000247;Probation, community supervision;Persons;249;units;0;v21536887;9.8;3453.0;;;;1
1991/1992;Saskatchewan;2016A000247;Conditional sentence, community supervision;Persons;249;units;0;v21536888;9.9;;..;;;1
1991/1992;Saskatchewan;2016A000247;Probation rates per 100,000 adults;Rate;257;units;0;v21536889;9.11;480.98;;;;2
1991/1992;Alberta;2016A000248;Total actual-in count;Persons;249;units;0;v21536890;10.1;2429.0;;;;1
1991/1992;Alberta;2016A000248;Sentenced, actual-in count;Persons;249;units;0;v21536891;10.2;1952.0;;;;1
1991/1992;Alberta;2016A000248;Remand, actual-in count;Persons;249;units;0;v21536892;10.3;477.0;;;;1
1991/1992;Alberta;2016A000248;On-register count;Persons;249;units;0;v21536894;10.5;3729.0;;;;1
1991/1992;Alberta;2016A000248;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536895;10.6;129.67;;;;2
1991/1992;Alberta;2016A000248;Total community supervision count;Persons;249;units;0;v21536896;10.7;6901.0;;;;1
1991/1992;Alberta;2016A000248;Probation, community supervision;Persons;249;units;0;v21536897;10.8;6901.0;;;;1
1991/1992;Alberta;2016A000248;Conditional sentence, community supervision;Persons;249;units;0;v21536898;10.9;;..;;;1
1991/1992;Alberta;2016A000248;Probation rates per 100,000 adults;Rate;257;units;0;v21536899;10.11;368.41;;;;2
1991/1992;British Columbia;2016A000259;Total actual-in count;Persons;249;units;0;v21536900;11.1;1895.0;;;;1
1991/1992;British Columbia;2016A000259;Sentenced, actual-in count;Persons;249;units;0;v21536901;11.2;1528.0;;;;1
1991/1992;British Columbia;2016A000259;Remand, actual-in count;Persons;249;units;0;v21536902;11.3;367.0;;;;1
1991/1992;British Columbia;2016A000259;Other statuses, actual-in count;Persons;249;units;0;v21536903;11.4;;..;;;1
1991/1992;British Columbia;2016A000259;On-register count;Persons;249;units;0;v21536904;11.5;;..;;;1
1991/1992;British Columbia;2016A000259;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536905;11.6;73.80;;;;2
1991/1992;British Columbia;2016A000259;Total community supervision count;Persons;249;units;0;v21536906;11.7;11233.0;;;;1
1991/1992;British Columbia;2016A000259;Probation, community supervision;Persons;249;units;0;v21536907;11.8;10903.0;;;;1
1991/1992;British Columbia;2016A000259;Conditional sentence, community supervision;Persons;249;units;0;v21536908;11.9;;..;;;1
1991/1992;British Columbia;2016A000259;Provincial parole, community supervision;Persons;249;units;0;v21536909;11.10;330.0;;;;1
1991/1992;British Columbia;2016A000259;Probation rates per 100,000 adults;Rate;257;units;0;v21536910;11.11;424.59;;;;2
1991/1992;Yukon;2016A000260;Total actual-in count;Persons;249;units;0;v21536911;12.1;84.0;;;;1
1991/1992;Yukon;2016A000260;Sentenced, actual-in count;Persons;249;units;0;v21536912;12.2;70.0;;;;1
1991/1992;Yukon;2016A000260;Remand, actual-in count;Persons;249;units;0;v21536913;12.3;14.0;;;;1
1991/1992;Yukon;2016A000260;Other statuses, actual-in count;Persons;249;units;0;v21536914;12.4;;..;;;1
1991/1992;Yukon;2016A000260;On-register count;Persons;249;units;0;v21536915;12.5;85.0;;;;1
1991/1992;Yukon;2016A000260;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536916;12.6;405.37;;;;2
1991/1992;Yukon;2016A000260;Total community supervision count;Persons;249;units;0;v21536917;12.7;713.0;;;;1
1991/1992;Yukon;2016A000260;Probation, community supervision;Persons;249;units;0;v21536918;12.8;713.0;;;;1
1991/1992;Yukon;2016A000260;Conditional sentence, community supervision;Persons;249;units;0;v21536919;12.9;;..;;;1
1991/1992;Yukon;2016A000260;Probation rates per 100,000 adults;Rate;257;units;0;v21536920;12.11;3440.79;;;;2
1991/1992;Northwest Territories including Nunavut;;Total actual-in count;Persons;249;units;0;v21536921;13.1;259.0;;;t;1
1991/1992;Northwest Territories including Nunavut;;Sentenced, actual-in count;Persons;249;units;0;v21536922;13.2;241.0;;;t;1
1991/1992;Northwest Territories including Nunavut;;Remand, actual-in count;Persons;249;units;0;v21536923;13.3;18.0;;;t;1
1991/1992;Northwest Territories including Nunavut;;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536926;13.6;673.09;;;t;2
1991/1992;Northwest Territories including Nunavut;;Total community supervision count;Persons;249;units;0;v21536927;13.7;342.0;;;t;1
1991/1992;Northwest Territories including Nunavut;;Probation, community supervision;Persons;249;units;0;v21536928;13.8;342.0;;;t;1
1991/1992;Northwest Territories including Nunavut;;Probation rates per 100,000 adults;Rate;257;units;0;v21536929;13.11;888.80;;;t;2
1991/1992;Northwest Territories;2016A000261;Total actual-in count;Persons;249;units;0;v21536930;14.1;;..;;;1
1991/1992;Northwest Territories;2016A000261;Sentenced, actual-in count;Persons;249;units;0;v21536931;14.2;;..;;;1
1991/1992;Northwest Territories;2016A000261;Remand, actual-in count;Persons;249;units;0;v21536932;14.3;;..;;;1
1991/1992;Northwest Territories;2016A000261;Other statuses, actual-in count;Persons;249;units;0;v44182208;14.4;;..;;;1
1991/1992;Northwest Territories;2016A000261;On-register count;Persons;249;units;0;v42133461;14.5;;..;;;1
1991/1992;Northwest Territories;2016A000261;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536935;14.6;;..;;;2
1991/1992;Northwest Territories;2016A000261;Total community supervision count;Persons;249;units;0;v52265497;14.7;;..;;;1
1991/1992;Northwest Territories;2016A000261;Probation, community supervision;Persons;249;units;0;v52265498;14.8;;..;;;1
1991/1992;Northwest Territories;2016A000261;Conditional sentence, community supervision;Persons;249;units;0;v52265499;14.9;;..;;;1
1991/1992;Northwest Territories;2016A000261;Probation rates per 100,000 adults;Rate;257;units;0;v52265501;14.11;;..;;;2
1991/1992;Nunavut;2016A000262;Total actual-in count;Persons;249;units;0;v21536936;15.1;;..;;;1
1991/1992;Nunavut;2016A000262;Sentenced, actual-in count;Persons;249;units;0;v21536937;15.2;;..;;;1
1991/1992;Nunavut;2016A000262;Remand, actual-in count;Persons;249;units;0;v21536938;15.3;;..;;;1
1991/1992;Nunavut;2016A000262;Other statuses, actual-in count;Persons;249;units;0;v21536939;15.4;;..;;;1
1991/1992;Nunavut;2016A000262;On-register count;Persons;249;units;0;v21536940;15.5;;..;;;1
1991/1992;Nunavut;2016A000262;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536941;15.6;;..;;;2
1991/1992;Nunavut;2016A000262;Total community supervision count;Persons;249;units;0;v41443553;15.7;;..;;;1
1991/1992;Nunavut;2016A000262;Probation, community supervision;Persons;249;units;0;v41443554;15.8;;..;;;1
1991/1992;Nunavut;2016A000262;Conditional sentence, community supervision;Persons;249;units;0;v41443555;15.9;;..;;;1
1991/1992;Nunavut;2016A000262;Probation rates per 100,000 adults;Rate;257;units;0;v41443556;15.11;;..;;;2
1992/1993;Provinces and Territories;2016A000011124;Total actual-in count;Persons;249;units;0;v21536797;1.1;19367.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Sentenced, actual-in count;Persons;249;units;0;v21536798;1.2;14135.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Remand, actual-in count;Persons;249;units;0;v21536799;1.3;5111.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Other statuses, actual-in count;Persons;249;units;0;v21536800;1.4;121.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;On-register count;Persons;249;units;0;v21536801;1.5;22418.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536802;1.6;90.74;;;;2
1992/1993;Provinces and Territories;2016A000011124;Total community supervision count;Persons;249;units;0;v21536803;1.7;103579.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Probation, community supervision;Persons;249;units;0;v21536804;1.8;100386.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Conditional sentence, community supervision;Persons;249;units;0;v21536805;1.9;;..;;;1
1992/1993;Provinces and Territories;2016A000011124;Provincial parole, community supervision;Persons;249;units;0;v21536806;1.10;3193.0;;;;1
1992/1993;Provinces and Territories;2016A000011124;Probation rates per 100,000 adults;Rate;257;units;0;v21536807;1.11;470.34;;;;2
1992/1993;Newfoundland and Labrador;2016A000210;Total actual-in count;Persons;249;units;0;v21536808;2.1;410.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Sentenced, actual-in count;Persons;249;units;0;v21536809;2.2;373.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Remand, actual-in count;Persons;249;units;0;v21536810;2.3;37.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Other statuses, actual-in count;Persons;249;units;0;v21536811;2.4;;..;;;1
1992/1993;Newfoundland and Labrador;2016A000210;On-register count;Persons;249;units;0;v21536812;2.5;470.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536813;2.6;96.91;;;;2
1992/1993;Newfoundland and Labrador;2016A000210;Total community supervision count;Persons;249;units;0;v21536814;2.7;2119.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Probation, community supervision;Persons;249;units;0;v21536815;2.8;2119.0;;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Conditional sentence, community supervision;Persons;249;units;0;v21536816;2.9;;..;;;1
1992/1993;Newfoundland and Labrador;2016A000210;Probation rates per 100,000 adults;Rate;257;units;0;v21536817;2.11;500.87;;;;2
1992/1993;Prince Edward Island;2016A000211;Total actual-in count;Persons;249;units;0;v21536818;3.1;115.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Sentenced, actual-in count;Persons;249;units;0;v21536819;3.2;99.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Remand, actual-in count;Persons;249;units;0;v21536820;3.3;16.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Other statuses, actual-in count;Persons;249;units;0;v21536821;3.4;;..;;;1
1992/1993;Prince Edward Island;2016A000211;On-register count;Persons;249;units;0;v21536822;3.5;115.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536823;3.6;120.31;;;;2
1992/1993;Prince Edward Island;2016A000211;Total community supervision count;Persons;249;units;0;v21536824;3.7;830.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Probation, community supervision;Persons;249;units;0;v21536825;3.8;830.0;;;;1
1992/1993;Prince Edward Island;2016A000211;Conditional sentence, community supervision;Persons;249;units;0;v21536826;3.9;;..;;;1
1992/1993;Prince Edward Island;2016A000211;Probation rates per 100,000 adults;Rate;257;units;0;v21536827;3.11;868.30;;;;2
1992/1993;Nova Scotia;2016A000212;Total actual-in count;Persons;249;units;0;v21536828;4.1;395.0;;;;1
1992/1993;Nova Scotia;2016A000212;Sentenced, actual-in count;Persons;249;units;0;v21536829;4.2;335.0;;;;1
1992/1993;Nova Scotia;2016A000212;Remand, actual-in count;Persons;249;units;0;v21536830;4.3;60.0;;;;1
1992/1993;Nova Scotia;2016A000212;Other statuses, actual-in count;Persons;249;units;0;v21536831;4.4;;..;;;1
1992/1993;Nova Scotia;2016A000212;On-register count;Persons;249;units;0;v21536832;4.5;480.0;;;;1
1992/1993;Nova Scotia;2016A000212;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536833;4.6;56.87;;;;2
1992/1993;Nova Scotia;2016A000212;Total community supervision count;Persons;249;units;0;v21536834;4.7;4561.0;;;;1
1992/1993;Nova Scotia;2016A000212;Probation, community supervision;Persons;249;units;0;v21536835;4.8;4561.0;;;;1
1992/1993;Nova Scotia;2016A000212;Conditional sentence, community supervision;Persons;249;units;0;v21536836;4.9;;..;;;1
1992/1993;Nova Scotia;2016A000212;Probation rates per 100,000 adults;Rate;257;units;0;v21536837;4.11;656.62;;;;2
1992/1993;New Brunswick;2016A000213;Total actual-in count;Persons;249;units;0;v21536838;5.1;464.0;;;;1
1992/1993;New Brunswick;2016A000213;Sentenced, actual-in count;Persons;249;units;0;v21536839;5.2;414.0;;;;1
1992/1993;New Brunswick;2016A000213;Remand, actual-in count;Persons;249;units;0;v21536840;5.3;42.0;;;;1
1992/1993;New Brunswick;2016A000213;Other statuses, actual-in count;Persons;249;units;0;v21536841;5.4;8.0;;;;1
1992/1993;New Brunswick;2016A000213;On-register count;Persons;249;units;0;v21536842;5.5;494.0;;;;1
1992/1993;New Brunswick;2016A000213;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536843;5.6;82.70;;;;2
1992/1993;New Brunswick;2016A000213;Total community supervision count;Persons;249;units;0;v21536844;5.7;2435.0;;;;1
1992/1993;New Brunswick;2016A000213;Probation, community supervision;Persons;249;units;0;v21536845;5.8;2435.0;;;;1
1992/1993;New Brunswick;2016A000213;Conditional sentence, community supervision;Persons;249;units;0;v21536846;5.9;;..;;;1
1992/1993;New Brunswick;2016A000213;Probation rates per 100,000 adults;Rate;257;units;0;v21536847;5.11;434.02;;;;2
1992/1993;Quebec;2016A000224;Total actual-in count;Persons;249;units;0;v21536848;6.1;3556.0;;;;1
1992/1993;Quebec;2016A000224;Sentenced, actual-in count;Persons;249;units;0;v21536849;6.2;2269.0;;;;1
1992/1993;Quebec;2016A000224;Remand, actual-in count;Persons;249;units;0;v21536850;6.3;1287.0;;;;1
1992/1993;Quebec;2016A000224;On-register count;Persons;249;units;0;v21536852;6.5;5568.0;;;;1
1992/1993;Quebec;2016A000224;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536853;6.6;65.67;;;;2
1992/1993;Quebec;2016A000224;Total community supervision count;Persons;249;units;0;v21536854;6.7;13379.0;;;;1
1992/1993;Quebec;2016A000224;Probation, community supervision;Persons;249;units;0;v21536855;6.8;12047.0;;;;1
1992/1993;Quebec;2016A000224;Conditional sentence, community supervision;Persons;249;units;0;v21536856;6.9;;..;;;1
1992/1993;Quebec;2016A000224;Provincial parole, community supervision;Persons;249;units;0;v21536857;6.10;1332.0;;;;1
1992/1993;Quebec;2016A000224;Probation rates per 100,000 adults;Rate;257;units;0;v21536858;6.11;222.48;;;;2
1992/1993;Ontario;2016A000235;Total actual-in count;Persons;249;units;0;v21536859;7.1;7421.0;;;;1
1992/1993;Ontario;2016A000235;Sentenced, actual-in count;Persons;249;units;0;v21536860;7.2;4955.0;;;;1
1992/1993;Ontario;2016A000235;Remand, actual-in count;Persons;249;units;0;v21536861;7.3;2381.0;;;;1
1992/1993;Ontario;2016A000235;Other statuses, actual-in count;Persons;249;units;0;v21536862;7.4;85.0;;;;1
1992/1993;Ontario;2016A000235;On-register count;Persons;249;units;0;v21536863;7.5;8416.0;;;;1
1992/1993;Ontario;2016A000235;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536864;7.6;92.65;;;;2
1992/1993;Ontario;2016A000235;Total community supervision count;Persons;249;units;0;v21536865;7.7;52116.0;;;;1
1992/1993;Ontario;2016A000235;Probation, community supervision;Persons;249;units;0;v21536866;7.8;50558.0;;;;1
1992/1993;Ontario;2016A000235;Conditional sentence, community supervision;Persons;249;units;0;v21536867;7.9;;..;;;1
1992/1993;Ontario;2016A000235;Provincial parole, community supervision;Persons;249;units;0;v21536868;7.10;1558.0;;;;1
1992/1993;Ontario;2016A000235;Probation rates per 100,000 adults;Rate;257;units;0;v21536869;7.11;631.19;;;;2
1992/1993;Manitoba;2016A000246;Total actual-in count;Persons;249;units;0;v21536870;8.1;939.0;;;;1
1992/1993;Manitoba;2016A000246;Sentenced, actual-in count;Persons;249;units;0;v21536871;8.2;672.0;;;;1
1992/1993;Manitoba;2016A000246;Remand, actual-in count;Persons;249;units;0;v21536872;8.3;239.0;;;;1
1992/1993;Manitoba;2016A000246;Other statuses, actual-in count;Persons;249;units;0;v21536873;8.4;28.0;;;;1
1992/1993;Manitoba;2016A000246;On-register count;Persons;249;units;0;v21536874;8.5;1191.0;;;;1
1992/1993;Manitoba;2016A000246;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536875;8.6;114.38;;;;2
1992/1993;Manitoba;2016A000246;Total community supervision count;Persons;249;units;0;v21536876;8.7;5066.0;;;;1
1992/1993;Manitoba;2016A000246;Probation, community supervision;Persons;249;units;0;v21536877;8.8;5066.0;;;;1
1992/1993;Manitoba;2016A000246;Conditional sentence, community supervision;Persons;249;units;0;v21536878;8.9;;..;;;1
1992/1993;Manitoba;2016A000246;Probation rates per 100,000 adults;Rate;257;units;0;v21536879;8.11;617.08;;;;2
