FID;INSTAL_COD;INSTAL_NOM;INSTAL_N_1;ETAB_CODE;ETAB_NOM;ETAB_NOM_A;RSS_CODE;RSS_NOM;ADRESSE;CASE_POST;CODE_POSTA;TELEPHONE;MUN_CODE;MUN_NOM;CLSC_CODE;CLSC_NOM;MRC_CODE;MRC_NOM;RLS_CODE;RLS_NOM;RUIS_CODE;RUIS_NOM;STATUT_COD;MD_CONS_CO;MD_FINAN_C;DESIGN_MIN;INSTANCE;DATE_INCOR;DATE_OUVER;LONGITUDE;LATITUDE;CHPSY;CHSGS;CHSLD;CLSC;CPEJ;CRDITED;CRDPA;CRDPM;CRDPV;CRDPL;CRJDA;CRMDA;CRD;Y;X
424;51224913;CLSC ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE LAFONTAINE;CLSC ET GMFU LAFONTAINE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;1000, rue Labelle; ;J7Z5N6;(450) 432-2777;75017;Saint-Jérôme;15161;La Rivière-du-Nord - Mirabel;750;La Rivière-du-Nord;1516;RLS de la Rivière-du-Nord - Mirabel-Nord;2;RUIS Université de Montréal;1;2;1; ;N;;2000/10/13 00:00:00+00;-74.009352;45.793045;Non;Oui;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-74.0093519999497;45.7930449996042
425;51224921;CENTRE D'HEBERGEMENT CHAMPLAIN - CHANOINE-AUDET;CENTRE D'HEBERGEMENT CHAMPLAIN - CHANOINE-AUDET;11044682;Groupe Champlain Inc;GROUPE CHAMPLAIN INC.;12;Chaudière-Appalaches;2155, chemin du Sault; ;G6W2K7;(418) 834-5322;25213;Lévis;12112;Les Chutes-de-la-Chaudière;251;Lévis;1211;RLS Alphonse-Desjardins;1;RUIS Université Laval;2;1;2; ;N;2010/02/24 00:00:00+00;2001/03/28 00:00:00+00;-71.237719;46.755313;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.2377190005932;46.755312999667
426;51225001;HÔPITAL CHAUVEAU;HÔPITAL CHAUVEAU;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;11999, rue de l'Hôpital; ;G2A2T7;(418) 842-3651;23027;Québec;3131;Loretteville - Val-Bélair;230;Québec;313;RLS de Québec-Nord;1;RUIS Université Laval;1;2;1; ;N;;2001/05/02 00:00:00+00;-71.369963;46.853199;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.3699629994378;46.8531989998612
427;51225027;CENTRE D'HEBERGEMENT DE LA MAREE;CENTRE D'HEBERGEMENT DE LA MAREE;11043890;Centre d'hébergement de la Marée Inc.;CENTRE D'HÉBERGEMENT DE LA MARÉE INC.;6;Montréal;7015, boulevard Gouin Est; ;H1E5N2;(514) 955-5229;66023;Montréal;6521;Rivière-des-Prairies;660;Montréal;652;RLS de Rivière-des-Prairies - Anjou - Montréal-Est;2;RUIS Université de Montréal;2;1;4; ;N;2010/02/24 00:00:00+00;2001/05/11 00:00:00+00;-73.619043;45.630064;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6190430003353;45.630063999632
428;51225035;CHSLD JOSEPH-FRANÇOIS-PERREAULT;CHSLD JOSEPH-FRANÇOIS-PERREAULT;11045200;Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal;CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;7400, boulevard Saint-Michel; ;H2A2Z8;(514) 722-3000;66023;Montréal;6511;Saint-Michel;660;Montréal;651;RLS de Saint-Léonard - Saint-Michel;2;RUIS Université de Montréal;1;2;1; ;N;;2001/05/14 00:00:00+00;-73.601776;45.559382;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6017760003564;45.5593820001615
429;51225068;CENTRE DE SERVICES AMBULATOIRES EN SANTÉ MENTALE SAINT-CHARLES;CENTRE SERV. AMB. EN SANTÉ MENTALE SAINT-CHARLES;11045168;Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal;CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;2840, boulevard Saint-Charles; ;H9H3B6;(514) 630-2225;66102;Kirkland;6111;Lac Saint-Louis;660;Montréal;611;RLS de Pierrefonds - Lac Saint-Louis;3;RUIS Université McGill;1;2;1; ;N;;2000/07/01 00:00:00+00;-73.853755;45.446751;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.8537550002266;45.4467510003269
430;51225126;CENTRE D'ACTIVITES DE JOUR DE LONGUEUIL - LYON;CENTRE D'ACTIVITES DE JOUR DE LONGUEUIL - LYON;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;3069, rue de Lyon; ;J4L3R8;(450) 670-2947;58227;Longueuil;16211;Longueuil-Ouest;580;Longueuil;1621;RLS Pierre-Boucher;2;RUIS Université de Montréal;1;2;1; ;N;;2001/04/01 00:00:00+00;-73.45864;45.513161;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.4586399997783;45.5131609995995
431;51225142;SERVICES EXTERNES - CLINIQUE RÉGIONALE D'ÉVALUATION DES TROUBLES COMPLEXES DU DÉVELOPPEMENT;SERV. EXT. - CLIN. RÉG. ÉVAL. TROUBLES COMPLEXES DÉV.;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;1442, rue Beauharnois; ;J4M1C2;(450) 647-1497;58227;Longueuil;16212;Longueuil-Est;580;Longueuil;1621;RLS Pierre-Boucher;2;RUIS Université de Montréal;1;2;1; ;N;;2001/04/01 00:00:00+00;-73.453636;45.535519;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.4536360002528;45.5355190000902
432;51225167;CENTRE D'ACTIVITES DE JOUR DE SAINT-HUBERT - GRANDE-ALLEE;CENTRE D'ACTIVITES DE JOUR DE ST-HUBERT - GRANDE-ALLEE;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;3255, Grande Allée; ;J4T2S7;(450) 445-0401;58227;Longueuil;16112;Saint-Hubert;580;Longueuil;1611;RLS de Champlain;2;RUIS Université de Montréal;1;2;1; ;N;;2001/04/01 00:00:00+00;-73.477005;45.497526;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.4770049994532;45.4975260002405
433;51225225;CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE GRANBY;CENTRE MULTI. SSS DE GRANBY;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;5;Estrie;290, rue Saint-Hubert; ;J2G5N3;(450) 375-0437;47017;Granby;5121;Granby-Shefford-Bromont;470;La Haute-Yamaska;512;RLS de la Haute-Yamaska;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2001/04/01 00:00:00+00;-72.729815;45.41149;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-72.7298150005026;45.4114900002251
434;51225241;CLSC DE MONTCALM;CLSC DE MONTCALM;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;383, chemin Sainte-Foy; ;G1S2J1;(418) 641-2572;23027;Québec;3124;Québec - Haute-Ville;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;1;2;1; ;N;;1999/09/29 00:00:00+00;-71.232976;46.803152;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.2329759997686;46.8031520001314
435;51225258;FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION LE COLIBRI;FOYER DE GROUPE POUR JDA LE COLIBRI;11045309;Centre intégré de santé et de services sociaux de la Montérégie-Est;CISSS DE LA MONTÉRÉGIE-EST;16;Montérégie;153, rue Saint-Philippe; ;J6S3H3;(450) 373-2290;70052;Salaberry-de-Valleyfield;16321;Valleyfield-Beauharnois;700;Beauharnois-Salaberry;1632;RLS du Suroît;3;RUIS Université McGill;1;2;1; ;N;;2001/10/01 00:00:00+00;-74.139788;45.266661;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Oui;Non;Non;-74.139787999985;45.2666609999541
436;51225266;CENTRE D'HÉBERGEMENT MARGUERITE-D'YOUVILLE;CENTRE D'HÉBERGEMENT MARGUERITE-D'YOUVILLE;11045143;Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec;CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC;4;Mauricie et Centre-du-Québec;574, rue Heriot; ;J2B1B9;(819) 478-6464;49058;Drummondville;4171;Drummond;490;Drummond;417;RLS de Drummond;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2002/03/01 00:00:00+00;-72.477064;45.879479;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.4770639993933;45.8794790001926
437;51225308;CENTRE DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE LE TOURET;CENTRE DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE LE TOURET;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;4076, boulevard de l'Université; ;J1N2Y1;(000) 000-0000;43027;Sherbrooke;5151;Sherbrooke;430;Sherbrooke;515;RLS de Sherbrooke;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2001/11/28 00:00:00+00;-71.961852;45.362659;Non;Non;Non;Non;Non;Non;Non;Oui;Non; ;Non;Non;Non;-71.9618520006127;45.362658999918
438;51225324;CENTRE DE RÉADAPATION EN DÉFICIENCE PHYSIQUE DE COATICOOK;CR EN DÉFICIENCE PHYSIQUE DE COATICOOK;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;163, rue Jeanne-Mance; ;J1A1W4;(819) 849-9102;44037;Coaticook;5141;Coaticook;440;Coaticook;514;RLS de Coaticook;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2001/11/28 00:00:00+00;-71.811309;45.135324;Non;Non;Non;Non;Non;Non;Non;Oui;Non; ;Non;Non;Non;-71.811308999896;45.1353239999841
439;51225340;CENTRE DE SERVICES EN DEFICIENCE INTELLECTUELLE ET EN TROUBLES ENVAHISSANTS DU DEVELOPPEMENT DE L'OUEST-DE-MONTREAL;CENTRE DE SERVICES EN DITED DE L'OUEST-DE-MONTREAL;11045168;Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal;CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;8000, rue Notre-Dame; ;H8R1H2;(514) 363-3025;66023;Montréal;6121;Lachine;660;Montréal;612;RLS de Dorval - Lachine - Lasalle;3;RUIS Université McGill;1;2;1; ;N;;2001/11/20 00:00:00+00;-73.632252;45.448869;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.6322520000224;45.4488689998388
440;51225357;HÔPITAL DE SAINTE-ANNE-DE-BEAUPRÉ;HÔPITAL DE SAINTE-ANNE-DE-BEAUPRÉ;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;11000, rue des Montagnards; ;G0A1E0;(418) 827-3726;21025;Beaupré;3134;Orléans;210;La Côte-de-Beaupré;313;RLS de Québec-Nord;1;RUIS Université Laval;1;2;1; ;N;;2002/04/18 00:00:00+00;-70.900195;47.04274;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-70.9001950000544;47.0427400003302
441;51225373;CLSC D'ACTON VALE;CLSC D'ACTON VALE;11045309;Centre intégré de santé et de services sociaux de la Montérégie-Est;CISSS DE LA MONTÉRÉGIE-EST;16;Montérégie;1266, rue Lemay; ;J0H1A0;(450) 546-2572;48028;Acton Vale;16223;Acton;480;Acton;1622;RLS de Richelieu-Yamaska;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2002/04/22 00:00:00+00;-72.570698;45.650145;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.5706979994969;45.650145000036
442;51225399;ATELIER DE TRAVAIL EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME MANOUANE;ATELIER DE TRAVAIL DI ET TSA MANOUANE;11045127;Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean;CIUSSS DU SAGUENAY – LAC-SAINT-JEAN;2;Saguenay–Lac-Saint-Jean;150, rue Pinel; ;G7G3N8;(418) 549-5474;94068;Saguenay;2151;Saguenay;941;Saguenay;215;RLS de Chicoutimi;1;RUIS Université Laval;1;2;1; ;N;;2000/12/01 00:00:00+00;-71.113608;48.399955;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.1136079997672;48.3999550000997
443;51225407;CENTRE D'HEBERGEMENT ET DE SOINS DE LONGUE DUREE VIGI REINE-ELIZABETH;CHSLD VIGI REINE-ELIZABETH;11044815;Vigi Santé Ltée;VIGI SANTÉ LTÉE;6;Montréal;2055, avenue Northcliffe; ;H4A3K6;(514) 788-2085;66023;Montréal;6212;Notre-Dame-de-Grâce - Montréal-Ouest;660;Montréal;621;RLS de Côte-Saint-Luc - NDG - Montréal-Ouest;3;RUIS Université McGill;2;1;2; ;N;2012/05/15 00:00:00+00;2002/04/29 00:00:00+00;-73.606059;45.474083;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6060590001974;45.474082999567
444;51225415;CLSC DE SAINT-SAUVEUR;CLSC DE SAINT-SAUVEUR;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;150, rue Principale; ;J0R1R6;(450) 227-3447;77043;Saint-Sauveur;15131;Les Pays-d'en-Haut;770;Les Pays-d'en-Haut;1513;RLS des Pays-d'en-Haut;2;RUIS Université de Montréal;1;2;1; ;N;;2002/06/12 00:00:00+00;-74.152599;45.896915;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-74.1525989994202;45.8969150004438
445;51225431;CENTRE DE COORDINATION DE SERVICES BEAUBIEN;CENTRE DE COORDINATION DE SERVICES BEAUBIEN;11045184;Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal;CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;7077, rue Beaubien Est, bureau 310; ;H1M2Y2;(000) 000-0000;66023;Montréal;6522;Anjou;660;Montréal;652;RLS de Rivière-des-Prairies - Anjou - Montréal-Est;2;RUIS Université de Montréal;1;2;1; ;N;;2002/06/05 00:00:00+00;-73.558021;45.593553;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.5580210003847;45.5935530004048
446;51225514;CLSC SAINT-JOSEPH;CLSC SAINT-JOSEPH;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;55, rue Saint-Joseph; ;J7E4Y5;(450) 430-4553;73010;Sainte-Thérèse;15171;Thérèse-De Blainville;730;Thérèse-De Blainville;1517;RLS de Thérèse-De Blainville;2;RUIS Université de Montréal;1;2;1; ;N;;2002/09/01 00:00:00+00;-73.841581;45.638023;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.8415810003288;45.6380230003795
447;51225522;CENTRE D'HÉBERGEMENT DRAPEAU-DESCHAMBAULT;CENTRE D'HÉBERGEMENT DRAPEAU-DESCHAMBAULT;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;100, rue du Chanoine-Lionel-Groulx; ;J7E5E1;(450) 437-4267;73010;Sainte-Thérèse;15171;Thérèse-De Blainville;730;Thérèse-De Blainville;1517;RLS de Thérèse-De Blainville;2;RUIS Université de Montréal;1;2;1; ;N;;2002/09/01 00:00:00+00;-73.840661;45.640346;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.840661000467;45.6403459999046
448;51225530;CLSC YVAN-DUQUETTE;CLSC YVAN-DUQUETTE;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;294, rue Déragon; ;J2G5J5;(450) 375-1442;47017;Granby;5121;Granby-Shefford-Bromont;470;La Haute-Yamaska;512;RLS de la Haute-Yamaska;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2002/09/01 00:00:00+00;-72.727133;45.410865;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.7271330005722;45.4108649995644
449;51225555;CLSC DE THERESE-DE BLAINVILLE;CLSC DE THERESE-DE BLAINVILLE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;300, rue Sicard; ;J7E3X5;(450) 430-4553;73010;Sainte-Thérèse;15171;Thérèse-De Blainville;730;Thérèse-De Blainville;1517;RLS de Thérèse-De Blainville;2;RUIS Université de Montréal;1;2;1; ;N;;2002/09/01 00:00:00+00;-73.860522;45.64284;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.8605220006315;45.6428400001156
450;51225563;CENTRE D'HEBERGEMENT ET DE SOINS DE LONGUE DUREE VIGI LES CHUTES;CHSLD VIGI LES CHUTES;11044815;Vigi Santé Ltée;VIGI SANTÉ LTÉE;4;Mauricie et Centre-du-Québec;5000, avenue Albert-Tessier; ;G9N8P9;(819) 539-5408;36033;Shawinigan;4141;Centre-de-la-Mauricie;360;Shawinigan;414;RLS du Centre-de-la-Mauricie;2;RUIS Université de Montréal;2;1;2; ;N;2012/05/15 00:00:00+00;2002/04/01 00:00:00+00;-72.732792;46.572991;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.7327920006017;46.5729909996267
451;51225589;HÔPITAL ET CENTRE DE RÉADAPTATION EN DÉPENDANCE DE VAL-D'OR;HÔPITAL ET CRD DE VAL-D'OR;11045226;Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue;CISSS DE L'ABITIBI-TÉMISCAMINGUE;8;Abitibi-Témiscamingue;725, 6e Rue; ;J9P3Y1;(819) 825-5858;89008;Val-d'Or;8141;Vallée-de-l'Or;890;La Vallée-de-l'Or;814;RLS de la Vallée-de-l'Or;3;RUIS Université McGill;1;2;1; ;N;;2002/10/01 00:00:00+00;-77.796833;48.096081;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-77.796832999819;48.0960809998103
452;51225597;HÔPITAL PSYCHIATRIQUE DE MALARTIC;HÔPITAL PSYCHIATRIQUE DE MALARTIC;11045226;Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue;CISSS DE L'ABITIBI-TÉMISCAMINGUE;8;Abitibi-Témiscamingue;1141, rue Royale;case postale 800;J0Y1Z0;(819) 825-5858;89015;Malartic;8141;Vallée-de-l'Or;890;La Vallée-de-l'Or;814;RLS de la Vallée-de-l'Or;3;RUIS Université McGill;1;2;1; ;N;;2002/10/01 00:00:00+00;-78.12841;48.141509;Non;Oui;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-78.1284099999371;48.1415090001722
453;51225613;CHSLD SAINT-JOSEPH-DE-LA-PROVIDENCE;CHSLD SAINT-JOSEPH-DE-LA-PROVIDENCE;11045192;Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal;CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;11844, avenue du Bois-de-Boulogne; ;H3M2X7;(514) 334-3120;66023;Montréal;6411;Bordeaux-Cartierville;660;Montréal;641;RLS du Nord de l'Île - Saint-Laurent;2;RUIS Université de Montréal;1;2;1; ;N;;2002/10/01 00:00:00+00;-73.690284;45.541009;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6902839994468;45.5410089998715
454;51225621;MAISON DE NAISSANCE DE L'OUTAOUAIS;MAISON DE NAISSANCE DE L'OUTAOUAIS;11045218;Centre intégré de santé et de services sociaux de l'Outaouais;CISSS DE L'OUTAOUAIS;7;Outaouais;76, avenue Gatineau; ;J8T4J4;(819) 966-6585;81017;Gatineau;7143;Gatineau;810;Gatineau;714;RLS de Grande-Rivière - Hull - Gatineau;3;RUIS Université McGill;1;2;1; ;N;;2002/10/31 00:00:00+00;-75.648489;45.482878;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-75.6484890000183;45.4828780002703
455;51225639;CENTRE D'ACTIVITES DE JOUR;CENTRE D'ACTIVITES DE JOUR;11045119;Centre intégré de santé et de services sociaux du Bas-Saint-Laurent;CISSS DU BAS-SAINT-LAURENT;1;Bas-Saint-Laurent;9, rue Principale; ;G0L3M0;(418) 963-5155;11010;Saint-Jean-de-Dieu;1141;Les Basques;110;Les Basques;114;RLS des Basques;1;RUIS Université Laval;1;2;1; ;N;;2002/10/04 00:00:00+00;-69.045859;48.003094;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-69.0458590004685;48.003094000249
456;51225704;INSTITUT NAZARETH ET LOUIS-BRAILLE D'ASSIGNY;INSTITUT NAZARETH ET LOUIS-BRAILLE D'ASSIGNY;11045291;Centre intégré de santé et de services sociaux de la Montérégie-Centre;CISSS DE LA MONTÉRÉGIE-CENTRE;16;Montérégie;955, rue d'Assigny; ;J4K5C3;(000) 000-0000;58227;Longueuil;16211;Longueuil-Ouest;580;Longueuil;1621;RLS Pierre-Boucher;2;RUIS Université de Montréal;1;2;1; ;N;;2002/07/04 00:00:00+00;-73.51979;45.526375;Non;Non;Non;Non;Non;Non;Non;Non;Oui; ;Non;Non;Non;-73.5197899999635;45.5263750001278
457;51225712;INSTITUT NAZARETH ET LOUIS-BRAILLE PLACE ALTON-GOLDBLOOM;INSTITUT NAZARETH LOUIS-BRAILLE PLACE ALTON-GOLDBLOOM;11045291;Centre intégré de santé et de services sociaux de la Montérégie-Centre;CISSS DE LA MONTÉRÉGIE-CENTRE;13;Laval;3205, place Alton-Goldbloom; ;H7V1R2;(000) 000-0000;65005;Laval;13114;Chomedey;650;Laval;1311;RLS de Laval;2;RUIS Université de Montréal;1;2;1; ;N;;2002/07/04 00:00:00+00;-73.737641;45.54873;Non;Non;Non;Non;Non;Non;Non;Non;Oui; ;Non;Non;Non;-73.7376410005128;45.5487299998211
458;51225761;CENTRE DE RÉADAPTATION EN DÉPENDANCE DE THÉRÈSE-DE BLAINVILLE;CRD DE THÉRÈSE-DE BLAINVILLE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;6, rue de l'Église; ;J7E3L1;(450) 433-9616;73010;Sainte-Thérèse;15171;Thérèse-De Blainville;730;Thérèse-De Blainville;1517;RLS de Thérèse-De Blainville;2;RUIS Université de Montréal;1;2;1; ;N;;2002/12/18 00:00:00+00;-73.843135;45.640169;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-73.8431350004118;45.6401690000211
459;51225795;CENTRE D'HÉBERGEMENT VITTIE-DESJARDINS;CENTRE D'HÉBERGEMENT VITTIE-DESJARDINS;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;66, rue Dufferin; ;J2G4W7;(450) 776-5222;47017;Granby;5121;Granby-Shefford-Bromont;470;La Haute-Yamaska;512;RLS de la Haute-Yamaska;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2002/09/01 00:00:00+00;-72.722545;45.400964;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.7225450000636;45.4009639999004
460;51225845;CLINIQUE MEDICALE DE SQUATEC;CLINIQUE MEDICALE DE SQUATEC;11045119;Centre intégré de santé et de services sociaux du Bas-Saint-Laurent;CISSS DU BAS-SAINT-LAURENT;1;Bas-Saint-Laurent;149-B, rue Saint-Joseph; ;G0L4H0;(000) 000-0000;13065;Saint-Michel-du-Squatec;1131;Témiscouata;130;Témiscouata;113;RLS de Témiscouata;1;RUIS Université Laval;1;2;1; ;N;;2002/12/19 00:00:00+00;-68.719667;47.88281;Non;Oui;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-68.7196669995223;47.8828100002837
461;51225878;CHSLD VILLA-BONHEUR;CHSLD VILLA-BONHEUR;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;71, rue Court; ;J2G4Y7;(450) 776-5222;47017;Granby;5121;Granby-Shefford-Bromont;470;La Haute-Yamaska;512;RLS de la Haute-Yamaska;4;RUIS Université de Sherbrooke;1;2;1; ;N;;1974/01/01 00:00:00+00;-72.723305;45.401396;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.7233049993923;45.401396000006
462;51225894;CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-HUBERT;CENTRE MULTI. SSS DE SAINT-HUBERT;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;5980, chemin de Chambly; ;J3Y6W9;(450) 445-2431;58227;Longueuil;16112;Saint-Hubert;580;Longueuil;1611;RLS de Champlain;2;RUIS Université de Montréal;1;2;1; ;N;;2002/06/17 00:00:00+00;-73.407114;45.498932;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.4071139998423;45.4989320002172
463;51225936;CLSC DE L'ASCENSION-DE-NOTRE-SEIGNEUR;CLSC DE L'ASCENSION-DE-NOTRE-SEIGNEUR;11045127;Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean;CIUSSS DU SAGUENAY – LAC-SAINT-JEAN;2;Saguenay–Lac-Saint-Jean;3815, 3e Avenue Ouest; ;G0W1Y0;(418) 669-2000;93065;L'Ascension-de-Notre-Seigneur;2131;Lac-Saint-Jean-Est;930;Lac-Saint-Jean-Est;213;RLS de Lac-Saint-Jean-Est;1;RUIS Université Laval;1;2;1; ;N;;2003/02/20 00:00:00+00;-71.672519;48.69191;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.6725190000971;48.6919099995776
464;51225969;FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION L'ÉQUIPÉE;FOYER DE GROUPE POUR JDA L'ÉQUIPÉE;11045309;Centre intégré de santé et de services sociaux de la Montérégie-Est;CISSS DE LA MONTÉRÉGIE-EST;16;Montérégie;90, rue Louise; ;J4J2S9;(450) 448-0790;58227;Longueuil;16212;Longueuil-Est;580;Longueuil;1621;RLS Pierre-Boucher;2;RUIS Université de Montréal;1;2;1; ;N;;2003/02/11 00:00:00+00;-73.474733;45.527673;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Oui;Non;Non;-73.4747330004531;45.5276729997932
