"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Indicateurs";"Caractéristiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358035";"3.2.1.1.1";"7900";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358036";"3.2.1.1.2";"7000";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358037";"3.2.1.1.3";"8700";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358038";"3.2.1.1.4";"85.9";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358039";"3.2.1.1.5";"75.5";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358040";"3.2.1.1.6";"92.3";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358041";"3.2.1.1.7";"0";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358042";"3.2.1.2.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358043";"3.2.1.2.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358044";"3.2.1.2.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358045";"3.2.1.2.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358046";"3.2.1.2.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358047";"3.2.1.2.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358048";"3.2.1.2.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358049";"3.2.1.3.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358050";"3.2.1.3.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358051";"3.2.1.3.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358052";"3.2.1.3.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358053";"3.2.1.3.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358054";"3.2.1.3.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358055";"3.2.1.3.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358056";"3.2.1.4.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358057";"3.2.1.4.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358058";"3.2.1.4.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358059";"3.2.1.4.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358060";"3.2.1.4.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358061";"3.2.1.4.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358062";"3.2.1.4.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358063";"3.2.1.5.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358064";"3.2.1.5.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358065";"3.2.1.5.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358066";"3.2.1.5.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358067";"3.2.1.5.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358068";"3.2.1.5.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358069";"3.2.1.5.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358070";"3.2.2.1.1";"4300";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358071";"3.2.2.1.2";"3700";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358072";"3.2.2.1.3";"4900";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358073";"3.2.2.1.4";"93.5";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358074";"3.2.2.1.5";"78.4";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358075";"3.2.2.1.6";"98.3";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358076";"3.2.2.1.7";"0";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358077";"3.2.2.2.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358078";"3.2.2.2.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358079";"3.2.2.2.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358080";"3.2.2.2.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358081";"3.2.2.2.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358082";"3.2.2.2.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358083";"3.2.2.2.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358084";"3.2.2.3.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358085";"3.2.2.3.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358086";"3.2.2.3.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358087";"3.2.2.3.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358088";"3.2.2.3.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358089";"3.2.2.3.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358090";"3.2.2.3.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358091";"3.2.2.4.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358092";"3.2.2.4.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358093";"3.2.2.4.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358094";"3.2.2.4.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358095";"3.2.2.4.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358096";"3.2.2.4.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358097";"3.2.2.4.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358098";"3.2.2.5.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358099";"3.2.2.5.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358100";"3.2.2.5.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358101";"3.2.2.5.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358102";"3.2.2.5.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358103";"3.2.2.5.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358104";"3.2.2.5.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358105";"3.2.3.1.1";"3500";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358106";"3.2.3.1.2";"2800";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358107";"3.2.3.1.3";"4200";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358108";"3.2.3.1.4";"78.2";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358109";"3.2.3.1.5";"61.3";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358110";"3.2.3.1.6";"89.0";"";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358111";"3.2.3.1.7";"0";"";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358112";"3.2.3.2.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358113";"3.2.3.2.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358114";"3.2.3.2.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358115";"3.2.3.2.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358116";"3.2.3.2.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358117";"3.2.3.2.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358118";"3.2.3.2.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358119";"3.2.3.3.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358120";"3.2.3.3.2";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358121";"3.2.3.3.3";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066358122";"3.2.3.3.4";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358123";"3.2.3.3.5";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066358124";"3.2.3.3.6";"";"F";"";"";"1"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Statistiquement différent du taux du Canada (sauf les territoires)";"Nombre";"223";"unités";"0";"v1066358125";"3.2.3.3.7";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066358126";"3.2.3.4.1";"";"F";"";"";"0"
"2018";"Île-du-Prince-Édouard";"2016A000211";"12 à 17 ans";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066358127";"3.2.3.4.2";"";"F";"";"";"0"
